


LogRenditen in 1 Tagen Abstand
Nummer;LogRenditen
297;-0,0081
298;-0,002
299;0,001
300;0,0092
301;-0,001
302;0,0091
303;-0,004
304;0,009
305;-0,003
306;-0,001
307;-0,006
308;0,004
309;0,00
310;-0,005
311;0,0091
312;0,012
313;0,0059
314;-0,0079
315;-0,005
316;-0,008
317;-0,003
318;0,009
319;-0,01
320;-0,001
321;-0,003
322;0,001
323;-0,001
324;-0,001
325;-0,0092
326;0,0031
327;0,0102
328;-0,0122
329;0,0061
330;0,0111
331;0,01
332;-0,009
333;-0,002
334;0,009
335;0,004
336;0,00
337;-0,002
338;0,0089
339;-0,0069
340;0,00
341;0,002
342;-0,004
343;-0,011
344;0,002
345;0,001
346;0,007
347;-0,007
348;-0,0091
349;0,0061
350;0,006
351;-0,001
352;-0,001
353;0,002
354;-0,006
355;-0,001
356;0,004
357;0,005
358;-0,007
359;0,00
360;0,00
361;-0,0162
362;0,0132
363;-0,004
364;-0,0163
365;0,0031
366;0,0273
367;0,007
368;0,0089
369;-0,0119
370;0,005
371;-0,022
372;-0,002
373;-0,0041
374;-0,0031
375;0,0091
376;0,00
377;0,0091
378;0,011
379;-0,004
380;0,0089
381;-0,0089
382;0,003
383;0,0079
384;-0,002
385;0,00
386;0,003
387;-0,0149
388;-0,012
389;-0,0122
390;0,0041
391;0,002
392;0,0101
393;-0,003
394;-0,0122
395;0,0071
396;0,0101
397;-0,0152
398;-0,0144
399;0,0093



LogRenditen in 5 Tagen Abstand
Nummer;LogRenditen
1;0,019
2;-0,0241
3;0,0211
4;0,0207
5;-0,0237
6;-0,0151
7;-0,0102
8;0,0173
9;0,004
10;0,005
11;-0,007
12;0,0169
13;0,001
14;-0,0199
15;-0,003
16;-0,0329
17;0,0042
18;-0,0042
19;0,0145
20;0,0062
21;-0,0144
22;0,0041
23;0,0041
24;-0,001
25;0,0254
26;-0,0071
27;0,0131
28;-0,006
29;0,006
30;-0,0283
31;-0,0072
32;0,0235
33;-0,003
34;0,0051
35;-0,003
36;0,017
37;-0,012
38;-0,0286
39;0,0144
40;0,00
41;-0,0103
42;0,0031
43;0,0153
44;0,0111
45;-0,0182
46;0,0232
47;-0,0283
48;0,0163
49;-0,0173
50;-0,0041
51;0,0123
52;0,0181
53;-0,005
54;-0,0121
55;0,0251
56;-0,009
57;0,0119
58;-0,0069
59;-0,01
60;-0,0081
61;0,0101
62;-0,0081
63;0,0141
64;-0,013
65;-0,0132
66;0,0183
67;0,012
68;0,00
69;-0,01
70;0,003
71;-0,007
72;0,002
73;-0,0203
74;0,0363
75;-0,022
76;0,025
77;0,00
78;-0,0321
79;0,0041



LogRenditen in 10 Tagen Abstand
Nummer;LogRenditen
1;-0,0051
2;0,0418
3;-0,0388
4;0,0071
5;0,009
6;0,0099
7;-0,019
8;-0,0359
9;0,00
10;0,0207
11;-0,0103
12;0,0031
13;0,0184
14;0,0071
15;-0,0223
16;0,0163
17;0,002
18;0,014
19;-0,0406
20;0,0144
21;-0,0072
22;0,0264
23;0,005
24;-0,012
25;-0,0214
26;0,0304
27;-0,0171
28;0,0161
29;0,005
30;-0,0181
31;0,002
32;0,001
33;0,005
34;0,012
35;-0,007
36;-0,005
37;0,016
38;0,003
39;-0,0321



LogRenditen in 25 Tagen Abstand
Nummer;LogRenditen
1;0,0131
2;0,001
3;-0,012
4;-0,0122
5;0,0182
6;-0,0223
7;0,0153
8;-0,0091
9;0,001
10;-0,0102
11;0,0384
12;-0,022
13;-0,0102
14;0,0233
15;-0,0111



LogRenditen in 50 Tagen Abstand
Nummer;LogRenditen
1;0,0141
2;-0,0242
3;-0,0041
4;0,0061
5;-0,0092
6;0,0163
7;0,0131
