Tag;Preis;ABS(LogRendite);ABS(Volumeaenderung);ABS(VolumeaenderungsProzent);
291;998.0;0,007;210,00;0,007;
292;1003.0;0,005;7171,00;0,2395;
293;1005.0;0,002;74,00;0,002;
294;1013.0;0,0079;4769,00;0,1283;
295;1001.0;0,0119;38655,00;1,1925;
296;1007.0;0,006;37840,00;0,5324;
297;1006.0;0,001;12039,00;0,3623;
298;998.0;0,008;1358,00;0,03;
299;986.0;0,0121;458,00;0,0104;
300;989.0;0,003;6788,00;0,153;
301;979.0;0,0102;3317,00;0,0883;
302;976.0;0,0031;9655,00;0,2818;
303;974.0;0,0021;5754,00;0,131;
304;980.0;0,0061;9126,00;0,1837;
305;973.0;0,0072;22799,00;0,3877;
306;975.0;0,0021;2999,00;0,0833;
307;967.0;0,0082;5155,00;0,1322;
308;973.0;0,0062;9520,00;0,2813;
309;979.0;0,0061;19730,00;0,8111;
310;987.0;0,0081;17139,00;0,389;
311;981.0;0,0061;16068,00;0,2626;
312;980.0;0,001;9846,00;0,2182;
313;977.0;0,0031;11616,00;0,3293;
314;980.0;0,0031;7696,00;0,1641;
315;972.0;0,0082;14900,00;0,3801;
316;972.0;0,00;2916,00;0,12;
317;987.0;0,0153;35952,00;1,321;
318;985.0;0,002;2098,00;0,0332;
319;985.0;0,00;8865,00;0,1452;
320;983.0;0,002;12885,00;0,2468;
321;978.0;0,0051;5090,00;0,1295;
322;979.0;0,001;9755,00;0,285;
323;982.0;0,0031;19715,00;0,8055;
324;974.0;0,0082;20814,00;0,471;
325;985.0;0,0112;20949,00;0,8962;
326;987.0;0,002;13908,00;0,3138;
327;996.0;0,0091;16401,00;0,2816;
328;995.0;0,001;7007,00;0,1675;
329;995.0;0,00;24875,00;0,7143;
330;996.0;0,001;19860,00;0,3327;
331;995.0;0,001;40,00;0,001;
332;1002.0;0,007;9740,00;0,2447;
333;998.0;0,004;15848,00;0,5272;
334;1001.0;0,003;7870,00;0,1714;
335;1006.0;0,005;4214,00;0,1108;
336;1016.0;0,0099;21932,00;0,5191;
337;1005.0;0,0109;36965,00;1,8191;
338;1004.0;0,001;2065,00;0,036;
339;1009.0;0,005;2752,00;0,0498;
340;1005.0;0,004;2218,00;0,0423;
341;1004.0;0,001;954,00;0,019;
342;1012.0;0,0079;14772,00;0,2885;
343;1020.0;0,0079;13992,00;0,3841;
344;1008.0;0,0118;39048,00;1,7401;
345;1008.0;0,00;21168,00;0,3443;
346;998.0;0,01;23552,00;0,5841;
347;1004.0;0,006;36764,00;0,5756;
348;1004.0;0,00;18072,00;0,6667;
349;996.0;0,008;7608,00;0,1684;
350;1000.0;0,004;37788,00;0,7158;
351;998.0;0,002;10948,00;0,7299;
352;997.0;0,001;17920,00;0,6906;
353;996.0;0,001;16976,00;0,387;
354;994.0;0,002;18832,00;0,7003;
355;990.0;0,004;11074,00;0,2422;
356;992.0;0,002;11834,00;0,3415;
357;988.0;0,004;11764,00;0,5156;
358;992.0;0,004;5100,00;0,1475;
359;993.0;0,001;9970,00;0,2513;
360;1000.0;0,007;4650,00;0,0937;
361;990.0;0,0101;2430,00;0,054;
362;989.0;0,001;4988,00;0,1172;
363;995.0;0,006;1223,00;0,0325;
364;985.0;0,0101;2565,00;0,0661;
365;990.0;0,0051;17610,00;0,4257;
366;981.0;0,0091;7632,00;0,3212;
367;996.0;0,0152;28368,00;0,9037;
368;996.0;0,00;5976,00;0,10;
369;1005.0;0,009;18609,00;0,346;
370;1012.0;0,0069;5305,00;0,1508;
371;1007.0;0,005;4835,00;0,1194;
372;995.0;0,012;24335,00;0,537;
373;1001.0;0,006;25606,00;0,3676;
374;1008.0;0,007;8764,00;0,199;
375;1005.0;0,003;5130,00;0,1454;
376;1004.0;0,001;30,00;0,001;
377;1003.0;0,001;30,00;0,001;
378;1011.0;0,0079;4815,00;0,16;
379;1021.0;0,0098;8418,00;0,3331;
380;1016.0;0,0049;6261,00;0,1858;
381;1013.0;0,003;5997,00;0,2186;
382;1012.0;0,001;25267,00;0,7558;
383;1006.0;0,0059;658,00;0,0112;
384;1002.0;0,004;28292,00;0,4767;
385;1007.0;0,005;7204,00;0,2319;
386;1006.0;0,001;9092,00;0,2376;
