#-1)Kurszusatz  G: Geld, Kauf>Verkauf; B: Brief, Kauf < Verkauf; b: bezahlt, Kauf=Verkauf; T: Taxe, kein Buy/Sell Order
#-2)Auftragtyp  B: Kauf,  S:Verkauf,  N:Wart  M: Mixed Order,  Order contains Buy and Sell Wish, it is created by Investor  
#-3)Limit=-1, -1 hat spezielle Bedeutung: billigsten Kauf bzw. Besten Verkauf
#-4)GewinnStatus *:Balance +:Gewinn -:Verlust 
#-5) Achtung: 
#-5) Wenn ReferenzTag = 0,  GewinnStatus ist jeden Tag gegen InitDepot ausgewertet.
#-6) Wenn ReferenzTag > 0,  GewinnStatus ist jeden Tag gegen Depot vor  X Tagen ausgewertet.
#-7) Investor BuyLimit  = IndividuellInnererWert * ( 1 - AbschlagProzent ) 
     Investor SellLimit = IndividuellInnererWert * ( 1 + AbschlagProzent ) 
#-8) Investor: Maximal Abweichung zu System InnererWert 5.0
     Investor: Minimal Abweichung zu System InnererWert -5.0
#-9) Investor: Eingesetztes Potenzial = PotenzialBase * ProzentialCounter  
     - Wenn ProzentialCounter Minus Wert ist, dann ist das Potenzial auch ein Minus Wert.
     - Wenn ProzentialCounter Plus Wert ist,  dann ist das Potenzial auch ein Plus Wert.
     - PotenzialProzent ist ein Parameter.
     - PotenzialBase wird nur bei (PozentialCounter=0) and (KursÄnderung ist größer als Threshold) berechnet, PotenzialBase = AktuellerSystemInnererWert * 0.2 * PotenuialProcent 
     - PotenzialProzent ist ein Parameter.
#-10) Investor Individuell InnererWert= SystemInnererWert + ZufallAbweichung + Potenzial 
      ZufallAbweichung kann minus/plus sein. 

Name;Tag;Type;AktienAnzahl;Cash;Depot;RelativGewinn;RelativeGewinnProzent;AbsoluteGewinn;AbsoluteGewinnProzent;Order;Menge;Limit;Kurs;Kurszusatz;PerformedMenge;
RandomTrader1;0067;RandomTrader;89999994;90005939;90809999891;2609999696;2,9592;719999891;0,7992;S;4;1020;1008;B;0;
RandomTrader1;0068;RandomTrader;89999994;90005939;90269999927;719999762;0,804;179999927;0,1998;B;2;997;1002;B;0;
RandomTrader1;0069;RandomTrader;89999986;90013979;90539999909;719999738;0,8016;449999909;0,4995;S;8;-1;1005;G;8;
RandomTrader1;0070;RandomTrader;89999993;90006902;91079999825;2159999674;2,4291;989999825;1,0989;B;7;-1;1011;B;7;
RandomTrader1;0071;RandomTrader;89999998;90001902;90089999902;1439999751;1,6244;-98;-0,00;B;5;1000;1000;G;5;
RandomTrader1;0072;RandomTrader;90000003;89996917;89819999908;989999757;1,1145;-270000092;-0,2997;B;5;-1;997;b;5;
RandomTrader1;0073;RandomTrader;90000009;89991043;88199999854;-360000315;-0,4065;-1890000146;-2,0979;B;6;-1;979;B;6;
RandomTrader1;0074;RandomTrader;90000016;89984232;87659999800;-1530000313;-1,7154;-2430000200;-2,6973;B;7;-1;973;B;7;
RandomTrader1;0075;RandomTrader;90000020;89980324;88019999864;-540000305;-0,6098;-2070000136;-2,2977;B;4;-1;977;G;4;
RandomTrader1;0076;RandomTrader;90000026;89974486;87659999784;-1800000385;-2,0121;-2430000216;-2,6973;B;6;-1;973;G;6;
RandomTrader1;0077;RandomTrader;90000026;89974486;86759999524;-2520000659;-2,8226;-3330000476;-3,6963;S;6;982;963;G;0;
RandomTrader1;0078;RandomTrader;90000021;89979276;86309999394;-3330000737;-3,7149;-3780000606;-4,1958;S;5;-1;958;b;5;
RandomTrader1;0079;RandomTrader;90000027;89973534;86219999373;-3690000704;-4,1041;-3870000627;-4,2957;B;6;-1;957;B;6;
RandomTrader1;0080;RandomTrader;90000024;89976396;85949999292;-4140000765;-4,5954;-4140000708;-4,5954;S;3;-1;954;G;3;
RandomTrader1;0081;RandomTrader;90000030;89970672;85949999292;-4500000705;-4,9751;-4140000708;-4,5954;B;6;963;954;B;6;
RandomTrader1;0082;RandomTrader;90000035;89965907;85859999262;-4410000753;-4,8853;-4230000738;-4,6953;B;5;-1;953;G;5;
RandomTrader1;0083;RandomTrader;90000031;89969739;86309999437;-3780000588;-4,1958;-3780000563;-4,1958;S;4;-1;958;B;4;
RandomTrader1;0084;RandomTrader;90000039;89962035;86759999592;-3690000389;-4,0796;-3330000408;-3,6963;B;8;-1;963;G;8;
RandomTrader1;0085;RandomTrader;90000041;89960107;86849999631;-5220000152;-5,6696;-3240000369;-3,5964;B;2;972;964;G;2;
RandomTrader1;0086;RandomTrader;90000041;89960107;86939999672;-4050000207;-4,451;-3150000328;-3,4965;S;2;973;965;B;0;
RandomTrader1;0087;RandomTrader;90000039;89962025;86399999426;-4410000465;-4,8563;-3690000574;-4,0959;S;2;955;959;B;2;
RandomTrader1;0088;RandomTrader;90000035;89965877;86759999582;-3510000345;-3,8883;-3330000418;-3,6963;S;5;949;963;B;4;
RandomTrader1;0089;RandomTrader;90000033;89967811;87119999722;-3420000187;-3,7773;-2970000278;-3,2967;S;2;953;967;G;2;
RandomTrader1;0090;RandomTrader;90000030;89970703;86849999623;-4230000202;-4,6443;-3240000377;-3,5964;S;3;-1;964;B;3;
