Tag;Preis;ABS(LogRendite);ABS(Volumeaenderung);ABS(VolumeaenderungsProzent);
200;1042.0;0,0067;2063,00;0,6644;
201;1049.0;0,0067;7,00;0,0067;
202;1049.0;0,00;1049,00;1,00;
203;1049.0;0,00;1049,00;0,00;
204;1055.0;0,0057;2116,00;2,0172;
205;1065.0;0,0094;2100,00;0,6635;
206;1070.0;0,0047;3215,00;3,0188;
207;1080.0;0,0093;1040,00;0,243;
208;1087.0;0,0065;6543,00;2,0194;
209;1091.0;0,0037;3309,00;0,3382;
210;1098.0;0,0064;47298,00;3,6127;
211;1105.0;0,0064;34975,00;0,5792;
212;1111.0;0,0054;30135,00;1,1857;
213;1115.0;0,0036;12465,00;0,2244;
214;1120.0;0,0045;3055,00;0,0449;
215;1124.0;0,0036;41820,00;0,6438;
216;1130.0;0,0053;37850,00;0,3545;
217;1132.0;0,0018;123510,00;1,7918;
218;1134.0;0,0018;119864,00;0,6229;
219;1140.0;0,0053;384,00;0,0053;
220;1146.0;0,0052;6492,00;0,089;
221;1151.0;0,0044;24461,00;0,368;
222;1154.0;0,0026;115637,00;1,2717;
223;1156.0;0,0017;358,00;0,0017;
224;1159.0;0,0026;537,00;0,0026;
225;1161.0;0,0017;23578,00;0,1137;
226;1162.0;0,0009;199,00;0,0009;
227;1162.0;0,00;158032,00;0,6834;
228;1156.0;0,0052;158070,00;0,4061;
229;1157.0;0,0009;957,00;0,0041;
230;1160.0;0,0026;16803,00;0,073;
231;1157.0;0,0026;66554,00;0,3118;
232;1151.0;0,0052;65908,00;0,2354;
233;1154.0;0,0026;596,00;0,0028;
234;1156.0;0,0017;786,00;0,0037;
235;1157.0;0,0009;184,00;0,0009;
236;1159.0;0,0017;368,00;0,0017;
237;1160.0;0,0009;3664,00;0,0172;
238;1161.0;0,0009;974,00;0,0045;
239;1159.0;0,0017;7326,00;0,0339;
240;1160.0;0,0009;10260,00;0,0492;
241;1159.0;0,0009;2489,00;0,0125;
242;1154.0;0,0043;845,00;0,0043;
243;1147.0;0,0061;1183,00;0,0061;
244;1138.0;0,0079;55007,00;0,2838;
245;1126.0;0,0106;40874,00;0,2944;
246;1114.0;0,0107;56744,00;0,5792;
247;1106.0;0,0072;17992,00;0,4365;
248;1094.0;0,0109;10098,00;0,4348;
249;1090.0;0,0037;5498,00;0,4188;
250;1059.0;0,0289;3394,00;0,4448;
251;1042.0;0,0162;1110,00;0,262;
252;1047.0;0,0048;1032,00;0,3301;
253;1031.0;0,0154;13371,00;6,3854;
254;1025.0;0,0058;14260,00;0,9221;
255;1020.0;0,0049;32495,00;1,0932;
256;1012.0;0,0079;13680,00;0,2199;
257;1005.0;0,0069;38670,00;0,5095;
258;1012.0;0,0069;17418,00;0,152;
259;1006.0;0,0059;25726,00;0,2648;
260;993.0;0,013;25888,00;0,3624;
261;995.0;0,002;126561,00;1,3005;
262;1004.0;0,009;16081,00;0,0718;
263;993.0;0,011;111859,00;0,4662;
264;995.0;0,002;64933,00;0,5069;
265;1004.0;0,009;52950,00;0,2743;
266;1012.0;0,0079;8160,00;0,0332;
267;1002.0;0,0099;120586,00;0,507;
268;1003.0;0,001;119474,00;1,0191;
269;1011.0;0,0079;9976,00;0,0421;
270;1022.0;0,0108;2684,00;0,0109;
271;1026.0;0,0039;162158,00;0,6503;
272;1053.0;0,026;18090,00;0,2074;
